dcm_path	x_spacing	y_spacing	z_spacing	x_offset	y_offset	z_offset	x_dimsize	y_dimsize	z_dimsize
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0341/1.3.6.1.4.1.14519.5.2.1.6279.6001.713948008609685722859788330157/1.3.6.1.4.1.14519.5.2.1.6279.6001.111496024928645603833332252962	0.617188	0.617188	1.25	-163.39999389648438	-158.0	-312.5	512	512	246
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0794/1.3.6.1.4.1.14519.5.2.1.6279.6001.315896257598312492181693323227/1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345	0.638671875	0.638671875	0.75	-161.64015197753906	-32.754737854003906	-720.75	512	512	392
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0568/1.3.6.1.4.1.14519.5.2.1.6279.6001.154900488526447142456824787975/1.3.6.1.4.1.14519.5.2.1.6279.6001.156016499715048493339281864474	0.703125	0.703125	1.25	-180.0	-157.1999969482422	-366.75	512	512	295
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0947/1.3.6.1.4.1.14519.5.2.1.6279.6001.808134164613518601297092139901/1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644	0.703125	0.703125	0.625	-188.8000030517578	-180.0	-318.5050048828125	512	512	503
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0929/1.3.6.1.4.1.14519.5.2.1.6279.6001.248983002956469734140739709749/1.3.6.1.4.1.14519.5.2.1.6279.6001.179730018513720561213088132029	0.703125	0.703125	1.25	-180.0	-142.10000610351562	-360.75	512	512	259
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0261/1.3.6.1.4.1.14519.5.2.1.6279.6001.303787857004156773187912154976/1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430	0.78125	0.78125	2.5	-194.8000030517578	-190.1999969482422	-334.25	512	512	139
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0765/1.3.6.1.4.1.14519.5.2.1.6279.6001.225520892751936930714518753705/1.3.6.1.4.1.14519.5.2.1.6279.6001.308153138776443962077214577161	0.585938	0.585938	2.5	-140.10000610351562	-138.5	-327.3699951171875	512	512	127
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0730/1.3.6.1.4.1.14519.5.2.1.6279.6001.148358074732977192643732679421/1.3.6.1.4.1.14519.5.2.1.6279.6001.584871944187559733312703328980	0.5625	0.5625	1.25	-142.1999969482422	-127.9000015258789	-305.4100036621094	512	512	237
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0693/1.3.6.1.4.1.14519.5.2.1.6279.6001.172781764368509306119706213242/1.3.6.1.4.1.14519.5.2.1.6279.6001.285926554490515269336267972830	0.742188	0.742188	2.5	-196.3000030517578	-197.8000030517578	-360.2099914550781	512	512	131
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0450/1.3.6.1.4.1.14519.5.2.1.6279.6001.326258759789625717227327619747/1.3.6.1.4.1.14519.5.2.1.6279.6001.215640837032688688030770057224	0.537109	0.537109	1.25	-133.3000030517578	-146.39999389648438	-314.2300109863281	512	512	235
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0180/1.3.6.1.4.1.14519.5.2.1.6279.6001.563554930011057425448972918752/1.3.6.1.4.1.14519.5.2.1.6279.6001.470912100568074901744259213968	0.78125	0.78125	1.25	-200.0	-176.6999969482422	-296.5	512	512	238
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0552/1.3.6.1.4.1.14519.5.2.1.6279.6001.100623635004206394377317082803/1.3.6.1.4.1.14519.5.2.1.6279.6001.270152671889301412052226973069	0.556641	0.556641	2.5	-140.6999969482422	-142.5	-322.5	512	512	135
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0012/1.3.6.1.4.1.14519.5.2.1.6279.6001.234120235997503955698755550667/1.3.6.1.4.1.14519.5.2.1.6279.6001.328789598898469177563438457842	0.742188	0.742188	2.5	-194.5	-219.0	-355.25	512	512	128
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0815/1.3.6.1.4.1.14519.5.2.1.6279.6001.213747445868893344159976127183/1.3.6.1.4.1.14519.5.2.1.6279.6001.232071262560365924176679652948	0.6640625	0.6640625	1.0	-152.45846557617188	-21.638978958129883	-556.7999877929688	512	512	263
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0141/1.3.6.1.4.1.14519.5.2.1.6279.6001.160881090830720390023167668360/1.3.6.1.4.1.14519.5.2.1.6279.6001.267957701183569638795986183786	0.623046875	0.623046875	1.0	-168.1884765625	-297.1884765625	37.5	512	512	368
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0431/1.3.6.1.4.1.14519.5.2.1.6279.6001.178054575127307086914328123377/1.3.6.1.4.1.14519.5.2.1.6279.6001.292049618819567427252971059233	0.644531	0.644531	2.0	-180.10000610351562	-189.5	-266.31500244140625	512	512	152
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0489/1.3.6.1.4.1.14519.5.2.1.6279.6001.299799877133044736642536495362/1.3.6.1.4.1.14519.5.2.1.6279.6001.290135156874098366424871975734	0.703125	0.703125	2.5	-178.39999389648438	-186.6999969482422	-386.5	512	512	141
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0177/1.3.6.1.4.1.14519.5.2.1.6279.6001.561164700626233888666112673613/1.3.6.1.4.1.14519.5.2.1.6279.6001.367204840301639918160517361062	0.703125	0.703125	2.5	-182.10000610351562	-173.8000030517578	-327.25	512	512	133
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0014/1.3.6.1.4.1.14519.5.2.1.6279.6001.297491710261529399075427138612/1.3.6.1.4.1.14519.5.2.1.6279.6001.747803439040091794717626507402	0.664062	0.664062	2.5	-177.5	-190.0	-320.25	512	512	114
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0907/1.3.6.1.4.1.14519.5.2.1.6279.6001.294168619890384187906139486190/1.3.6.1.4.1.14519.5.2.1.6279.6001.147325126373007278009743173696	0.585938	0.585938	1.25	-141.10000610351562	-150.0	-321.7650146484375	512	512	239
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0109/1.3.6.1.4.1.14519.5.2.1.6279.6001.867436015578673140421767840022/1.3.6.1.4.1.14519.5.2.1.6279.6001.276710697414087561012670296643	0.78125	0.78125	1.25	-193.3000030517578	-200.0	-289.0	512	512	223
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0894/1.3.6.1.4.1.14519.5.2.1.6279.6001.277707646521145217625235879315/1.3.6.1.4.1.14519.5.2.1.6279.6001.254473943359963613733707320244	0.703125	0.703125	1.25	-174.3000030517578	-180.0	-330.3999938964844	512	512	252
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0503/1.3.6.1.4.1.14519.5.2.1.6279.6001.125091393024330590664846028519/1.3.6.1.4.1.14519.5.2.1.6279.6001.150684298696437181894923266019	0.76171875	0.76171875	1.79998779296875	-207.619140625	-391.619140625	-341.0	512	512	181
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0253/1.3.6.1.4.1.14519.5.2.1.6279.6001.146278570536997032868813883454/1.3.6.1.4.1.14519.5.2.1.6279.6001.143410010885830403003179808334	0.78125	0.78125	2.5	-193.3000030517578	-180.8000030517578	-353.75	512	512	133
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0403/1.3.6.1.4.1.14519.5.2.1.6279.6001.303407883137142435506738687070/1.3.6.1.4.1.14519.5.2.1.6279.6001.952265563663939823135367733681	0.49609375	0.49609375	0.5	-122.751953125	-277.751953125	147.5	512	512	331
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0678/1.3.6.1.4.1.14519.5.2.1.6279.6001.129172271455973626256608772850/1.3.6.1.4.1.14519.5.2.1.6279.6001.202643836890896697853521610450	0.527344	0.527344	2.0	-149.0	-135.0	-298.3999938964844	512	512	164
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0525/1.3.6.1.4.1.14519.5.2.1.6279.6001.636909670997007752324450926079/1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574	0.53710938	0.53710938	0.70001220703125	-138.2314453125	-263.2314453125	-327.5	512	512	429
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0467/1.3.6.1.4.1.14519.5.2.1.6279.6001.182190805623310236601030915541/1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495	0.744140625	0.744140625	1.0	-210.61231994628906	-101.6144790649414	1444.5	512	512	300
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0811/1.3.6.1.4.1.14519.5.2.1.6279.6001.694589790483267758352592215517/1.3.6.1.4.1.14519.5.2.1.6279.6001.220596530836092324070084384692	0.66796875	0.66796875	1.0	-187.0	10.0	-753.0999755859375	512	512	371
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0887/1.3.6.1.4.1.14519.5.2.1.6279.6001.306979641566588911923060002188/1.3.6.1.4.1.14519.5.2.1.6279.6001.159665703190517688573100822213	0.648438	0.648438	2.5	-174.89999389648438	-153.0	-336.4100036621094	512	512	123
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0059/1.3.6.1.4.1.14519.5.2.1.6279.6001.247360966390848191713625967090/1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912	0.703125	0.703125	2.5	-193.5	-180.0	-353.3299865722656	512	512	133
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0017/1.3.6.1.4.1.14519.5.2.1.6279.6001.853991115059421477233219569301/1.3.6.1.4.1.14519.5.2.1.6279.6001.108231420525711026834210228428	0.728516	0.728516	1.25	-185.6999969482422	-155.39999389648438	-287.75	512	512	238
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0097/1.3.6.1.4.1.14519.5.2.1.6279.6001.282376078213521832826757169162/1.3.6.1.4.1.14519.5.2.1.6279.6001.461155505515403114280165935891	0.833984	0.833984	1.25	-218.10000610351562	-203.5	-350.0	512	512	245
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0251/1.3.6.1.4.1.14519.5.2.1.6279.6001.157894141428308694229687552009/1.3.6.1.4.1.14519.5.2.1.6279.6001.307835307280028057486413359377	0.820312	0.820312	2.5	-211.0	-210.0	-325.5	512	512	133
/media/philipp/qnap/LIDC/download/DOI/LIDC-IDRI-0026/1.3.6.1.4.1.14519.5.2.1.6279.6001.279133908903915300821612602665/1.3.6.1.4.1.14519.5.2.1.6279.6001.101228986346984399347858840086	0.787109	0.787109	1.25	-186.5	-226.5	-345.0	512	512	257
